german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
tauschen,to swap,"tauschen, tauscht, tauschte, hat getauscht",Ich würde meinen Kuchen gegen dein Brot tauschen.,I would swap my cake for your bread.,Wollen wir die Plätze tauschen?,Shall we swap places?,,,,,,,,,,
teilen,to share,"teilen, teilt, teilte, hat geteilt",Mein Mann und ich teilen uns die Arbeit.,My husband and I share the work.,Wollen wir uns eine Pizza teilen?,Shall we share a pizza?,Was machst du mit dem Gewinn? – Ich teile ihn mit meiner Familie.,What are you doing with the winnings? - I share it with my family.,,,,,,,,
teilnehmen,to participate,"teilnehmen, nimmt teil, nahm teil, hat teilgenommen an",Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.,"Unfortunately, I was unable to attend the course regularly.",,,,,,,,,,,,
telefonieren,to phone,"telefonieren, telefoniert, telefonierte, hat telefoniert",Ich muss kurz telefonieren.,I need to make a quick phone call.,Mein Mann telefoniert gerade. Können Sie später noch einmal anrufen?,My husband is on the phone right now. Can you call back later?,,,,,,,,,,
testen,to test,"testen, testet, testete, hat getestet",Testen Sie unsere Angebote kostenlos.,Test our offers free of charge.,,,,,,,,,,,,
tippen,to type,"tippen, tippt, tippte, hat getippt",Wie schnell kannst du tippen?,How fast can you type?,,,,,,,,,,,,
tragen,"to carry, wear","tragen, trägt, trug, hat getragen",Lass mich den Koffer tragen. Der ist zu schwer für dich.,Let me carry the suitcase. It's too heavy for you.,Mein Bruder trägt eine Brille.,My brother wears glasses.,Die Kosten trägt die Krankenkasse.,The costs are borne by the health insurance company.,,,,,,,,
trainieren,to train,"trainieren, trainiert, trainierte, hat trainiert",Wir trainieren einmal pro Woche im Sportverein.,We train once a week at the sports club.,,,,,,,,,,,,
träumen,to dream,"träumen, träumt, träumte, hat geträumt von",Ich habe schlecht geträumt.,I had a bad dream.,Ich träume von einem großen Haus mit Garten.,I dream of a big house with a garden.,,,,,,,,,,
treffen,to meet,"treffen, trifft, traf, hat getroffen",Wir treffen uns immer freitags.,We always meet on Fridays.,Ich habe Petra zufällig in der Stadt getroffen.,I met Petra by chance in the city.,,,,,,,,,,
treiben,"to drive, do sports","treiben, treibt, trieb, hat getrieben",Welchen Sport treibst du?,What sport do you do?,,,,,,,,,,,,
(sich) trennen,to separate,"(sich) trennen, trennt, trennte, hat getrennt",Wir leben getrennt.,We live separately.,Meine Freundin und ihr Mann haben sich getrennt.,My girlfriend and her husband have separated.,Wir müssen den Müll trennen. Das kommt zum Altpapier.,We have to separate the waste. This goes with the waste paper.,,,,,,,,
treten,"to step, kick","treten, tritt, trat, hat/ist getreten",Ich bin in ein Stück Glas getreten.,I stepped into a piece of glass.,Au! Du hast mich getreten!,Ouch! You kicked me!,,,,,,,,,,
trinken,to drink,"trinken, trinkt, trank, hat getrunken",Trinken Sie einen Tee mit uns?,Will you join us for tea?,,,,,,,,,,,,
trocknen,to dry,"trocknen, trocknet, trocknete, hat/ist getrocknet",Ich habe mir die Haare getrocknet.,I dried my hair.,Die Farbe ist schnell getrocknet.,The paint dried quickly.,,,,,,,,,,
tun,to do,"tun, tut, tat, hat getan",Ich habe heute viel zu tun.,I have a lot to do today.,Was kann ich für Sie tun?,What can I do for you?,Ich habe zu viel Zucker in den Kaffee getan.,I put too much sugar in my coffee.,Es tut mir leid. Ich kann nicht kommen.,I'm sorry. I can't come.,Der Arm tut mir weh.,My arm hurts.,Ich habe endlich mal ausgeschlafen. Das hat gut getan.,I finally got a good night's sleep. That did me good.,,
überfahren,to run over,"überfahren, überfährt, überfuhr, hat überfahren",Gestern hat ein Autofahrer einen Hund überfahren.,Yesterday a driver ran over a dog.,,,,,,,,,,,,
überholen,to overtake,"überholen, überholt, überholte, hat überholt",Hier dürfen Lkws nicht überholen.,Trucks are not allowed to overtake here.,,,,,,,,,,,,
überlegen,"to consider, think","überlegen, überlegt, überlegte, hat überlegt",Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen.,I can't make up my mind. I still have to think about it.,"Ich habe mir überlegt, ein Auto zu kaufen.",I've been thinking about buying a car.,,,,,,,,,,
übernachten,to stay overnight,"übernachten, übernachtet, übernachtete, hat übernachtet",Wir haben auf dem Campingplatz übernachtet.,We spent the night at the campsite.,,,,,,,,,,,,
übernehmen,to take over,"übernehmen, übernimmt, übernahm, hat übernommen.",Ich habe das Geschäft von meinem Vater übernommen.,I took over the business from my father.,,,,,,,,,,,,
überprüfen,"to check, examine","überprüfen, überprüft, überprüfte, hat überprüft","Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist.",Please check that your name is spelled correctly.,,,,,,,,,,,,
überqueren,to cross,"überqueren, überquert, überquerte, hat überquert",Bitte die Straße nur an der Ampel überqueren.,Please only cross the road at the traffic lights.,,,,,,,,,,,,
überraschen,to surprise,"überraschen, überrascht, überraschte, hat überrascht","Ich bin ganz überrascht, dass die Wohnung so billig ist.",I'm quite surprised that the apartment is so cheap.,,,,,,,,,,,,
überreden,to persuade,"überreden, überredet, überredete, hat überredet","Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen.","At first I didn't want to, but my brother persuaded me to do an English course.",,,,,,,,,,,,
übersetzen,to translate,"übersetzen, übersetzt, übersetzte, hat übersetzt",Können Sie mir bitte diesen Brief übersetzen?,Can you please translate this letter for me?,,,,,,,,,,,,
übertreiben,"to exaggerate, overdo","übertreiben, übertreibt, übertrieb, hat übertrieben",Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.,A little sport is healthy. But you shouldn't overdo it.,,,,,,,,,,,,
überweisen,to transfer,"überweisen, überweist, überwies, hat überwiesen",Ich überweise dir das Geld.,I'll transfer the money to you.,Der Arzt hat mich ins Krankenhaus überwiesen.,The doctor referred me to hospital.,,,,,,,,,,
umarmen,"to embrace, hug","umarmen, umarmt, umarmte, hat umarmt",Lass dich zum Abschied umarmen.,Let me hug you goodbye.,,,,,,,,,,,,
(sich) umdrehen,to turn around,"(sich) umdrehen, dreht um, drehte um, hat umgedreht",Dreh dich mal um. Da hinten liegt das Buch doch.,Turn around. The book is over there.,Dreh das Blatt um; die Lösung steht auf der Rückseite.,Turn the sheet over; the solution is on the back.,,,,,,,,,,
umgehen,"to bypass, get around","umgehen, geht um, ging um, ist umgegangen",Er kann sehr gut mit Kindern umgehen.,He is very good with children.,,,,,,,,,,,,
umsteigen,to change (transport),"umsteigen, steigt um, stieg um, ist umgestiegen",In Ulm müssen Sie umsteigen.,You have to change trains in Ulm.,,,,,,,,,,,,
umtauschen,to exchange,"umtauschen, tauscht um, tauschte um, hat umgetauscht",Ich möchte diese Bluse umtauschen. Sie passt mir nicht.,I would like to exchange this blouse. It doesn't fit me.,Wo kann ich Geld umtauschen?,Where can I exchange money?,,,,,,,,,,
umziehen,to move (places),"umziehen, zieht um, zog um, ist umgezogen",Familie Meier ist letzten Monat umgezogen. Sie wohnen nicht mehr hier.,The Meier family moved last month. They no longer live here.,,,,,,,,,,,,
sich umziehen,to change clothes,"sich umziehen, zieht sich um, zog sich um, hat sich umgezogen","Bevor wir zur Party gehen, möchte ich mich umziehen.","Before we go to the party, I want to change.",,,,,,,,,,,,
unterbrechen,to interrupt,"unterbrechen, unterbricht, unterbrach, hat unterbrochen",Wir unterbrechen die Sendung für eine wichtige Nachricht.,We interrupt the broadcast for an important message.,"Bitte unterbrich mich nicht, wenn ich spreche.",Please don't interrupt me when I'm speaking.,,,,,,,,,,
(sich) unterhalten,"to converse, entertain","(sich) unterhalten, unterhält, unterhielt, hat unterhalten",Wir haben uns über das Fußballspiel unterhalten.,We talked about the soccer game.,Ich habe mich bei der Party sehr gut unterhalten.,I had a great time at the party.,,,,,,,,,,
unterlassen,to refrain from,"unterlassen, unterlässt, unterließ, hat unterlassen",Das Rauchen auf den Gängen ist zu unterlassen.,Smoking in the corridors is prohibited.,,,,,,,,,,,,
unternehmen,"to undertake, do","unternehmen, unternimmt, unternahm, hat unternommen",Wollen wir heute Abend noch etwas unternehmen?,Shall we do something else tonight?,,,,,,,,,,,,
unterrichten,to teach,"unterrichten, unterrichtet, unterrichtete, hat unterrichtet",Meine Frau unterrichtet Spanisch.,My wife teaches Spanish.,,,,,,,,,,,,
unterscheiden,to distinguish,"unterscheiden, unterscheidet, unterschied, hat unterschieden",Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.,You are very similar. You can't tell you apart in the photo.,,,,,,,,,,,,
unterschreiben,to sign,"unterschreiben, unterschreibt, unterschrieb, hat unterschrieben",Unterschreiben Sie bitte hier unten rechts.,Please sign here at the bottom right.,,,,,,,,,,,,
unterstreichen,to underline,"unterstreichen, unterstreicht, unterstrich, hat unterstrichen",Wir sollen alle wichtigen Wörter unterstreichen.,We should underline all the important words.,,,,,,,,,,,,
unterstützen,to support,"unterstützen, unterstützt, unterstützte, hat unterstützt","Sie unterstützen mich, wo sie nur können.",They support me wherever they can.,,,,,,,,,,,,
untersuchen,to examine,"untersuchen, untersucht, untersuchte, hat untersucht",Sie sollten sich vom Arzt untersuchen lassen.,You should be examined by a doctor.,,,,,,,,,,,,
verursachen,to cause,"verursachen, verursacht, verursachte, hat verursacht",Dieser Busfahrer verursachte den Unfall.,This bus driver caused the accident.,,,,,,,,,,,,
(sich) verabreden,to make an appointment,"(sich) verabreden, verabredet, verabredete, hat verabredet",Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.,We've arranged to meet up with friends. We want to eat together.,,,,,,,,,,,,
(sich) verabschieden,to say goodbye,"(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet",Ich wurde von meinen Freunden sehr nett verabschiedet.,I was given a very nice send-off by my friends.,Es ist schon 23 Uhr. Ich möchte mich verabschieden.,It's already 11 pm. I would like to say goodbye.,,,,,,,,,,
(sich) verändern,to change,"(sich) verändern, verändert, veränderte, hat verändert",Das geht so nicht. Wir müssen die Organisation verändern.,That's not possible. We have to change the organization.,Wir haben uns lange nicht gesehen. Aber du hast dich gar nicht verändert.,We haven't seen each other for a long time. But you haven't changed at all.,,,,,,,,,,
(sich) verbessern,to improve,"(sich) verbessern, verbessert, verbesserte, hat verbessert",Ich habe mein Deutsch verbessert.,I have improved my German.,Meine Kinder haben sich in der Schule verbessert.,My children have improved at school.,,,,,,,,,,
verbieten,to prohibit,"verbieten, verbietet, verbot, hat verboten",Ich werde meinen Kindern das Rauchen verbieten.,I will forbid my children to smoke.,,,,,,,,,,,,
verbinden,to connect,"verbinden, verbindet, verband, hat verbunden",Wir müssen die Wunde sofort verbinden.,We have to dress the wound immediately.,"Sie sind falsch verbunden! Hier ist Müller, nicht Meyer.","You are connected incorrectly! This is Müller, not Meyer.",,,,,,,,,,
verbrauchen,to consume,"verbrauchen, verbraucht, verbrauchte, hat verbraucht",Wie viel Benzin verbraucht dein Auto?,How much gas does your car use?,,,,,,,,,,,,
(sich) verbrennen,to burn,"(sich) verbrennen, verbrennt, verbrannte, hat verbrannt",Ich werde alle Briefe verbrennen.,I will burn all the letters.,Der Herd war noch heiß. Ich habe mich verbrannt.,The stove was still hot. I burned myself.,,,,,,,,,,
verbringen,to spend (time),"verbringen, verbringt, verbrachte, hat verbracht",Wie haben Sie Ihren Urlaub verbracht?,How did you spend your vacation?,,,,,,,,,,,,
verdienen,to earn,"verdienen, verdient, verdiente, hat verdient",In diesem Beruf verdient man gut.,You earn good money in this profession.,Er hat den Urlaub wirklich verdient.,He really deserves his vacation.,,,,,,,,,,
vereinbaren,"to agree, arrange","vereinbaren, vereinbart, vereinbarte, hat vereinbart",Können wir einen Termin vereinbaren?,Can we make an appointment?,,,,,,,,,,,,
vergessen,to forget,"vergessen, vergisst, vergaß, hat vergessen",Ich habe den Termin ganz vergessen.,I completely forgot the date.,Ich habe meinen Pass vergessen.,I have forgotten my passport.,,,,,,,,,,
vergleichen,to compare,"vergleichen, vergleicht, verglich, hat verglichen",Vergleichen Sie die Angebote.,Compare the offers.,,,,,,,,,,,,
sich vergnügen,to have fun,"sich vergnügen, vergnügt sich, vergnügte sich, hat sich vergnügt",Auf der Party habe ich mich sehr vergnügt.,I had a great time at the party.,,,,,,,,,,,,
vergrößern,to enlarge,"vergrößern, vergrößert, vergrößerte, hat vergrößert",Können Sie das Foto vergrößern?,Can you enlarge the photo?,Wir wollen unser Geschäft vergrößern.,We want to expand our business.,,,,,,,,,,
verhaften,to arrest,"verhaften, verhaftet, verhaftete, hat verhaftet",Die Polizei hat 23 Menschen verhaftet.,The police have arrested 23 people.,,,,,,,,,,,,
sich verhalten,to behave,"sich verhalten, verhält sich, verhielt sich, hat sich verhalten",Der Mann hat sich uns gegenüber merkwürdig verhalten.,The man behaved strangely towards us.,,,,,,,,,,,,
verhindern,to prevent,"verhindern, verhindert, verhinderte, hat verhindert",Wir konnten den Unfall nicht verhindern.,We were unable to prevent the accident.,,,,,,,,,,,,
verkaufen,to sell,"verkaufen, verkauft, verkaufte, hat verkauft",Ich habe unser altes Auto verkauft.,I sold our old car.,,,,,,,,,,,,
verlangen,to demand,"verlangen, verlangt, verlangte, hat verlangt",Jeden Tag Überstunden? Das können Sie nicht verlangen.,Overtime every day? You can't ask for that.,Wie viel verlangen Sie für das Auto?,How much do you charge for the car?,"Frau Müller, Sie werden am Telefon verlangt.","Ms. Müller, you are being asked to answer the phone.",,,,,,,,
verlängern,to extend,"verlängern, verlängert, verlängerte, hat verlängert",Ich muss meinen Pass verlängern lassen.,I have to have my passport extended.,Die U-Bahn Linie U4 wird verlängert.,The U4 subway line is extended.,,,,,,,,,,
(sich) verlassen,"to leave, rely on","(sich) verlassen, verlässt, verließ, hat verlassen (auf)",Ich habe die Party um 3 Uhr verlassen.,I left the party at 3 o'clock.,Du kannst dich auf mich verlassen. Ich helfe dir auf jeden Fall.,You can rely on me. I will help you in any case.,,,,,,,,,,
sich verlaufen,to get lost,"sich verlaufen, verläuft sich, verlief sich, hat sich verlaufen",Gestern haben wir uns im Wald verlaufen. Wir haben erst eine Stunde später den richtigen Weg gefunden.,Yesterday we got lost in the forest. We only found the right path an hour later.,,,,,,,,,,,,
(sich) verletzen,to injure,"(sich) verletzen, verletzt, verletzte, hat verletzt",Ich habe mich an der Hand verletzt.,I injured my hand.,Ich habe mir den Arm verletzt.,I hurt my arm.,,,,,,,,,,
sich verlieben,to fall in love,"sich verlieben, verliebt sich, verliebte sich, hat sich verliebt",Ich habe mich verliebt.,I have fallen in love.,,,,,,,,,,,,
verlieren,to lose,"verlieren, verliert, verlor, hat verloren",Ich habe meine Brieftasche verloren.,I have lost my wallet.,Jennifer hat ihre Stelle verloren.,Jennifer has lost her job.,Sie dürfen den Mut nicht verlieren.,You must not lose heart.,Unsere Mannschaft hat 3:5 verloren.,Our team lost 3:5.,,,,,,
vermeiden,to avoid,"vermeiden, vermeidet, vermied, hat vermieden","Der Arzt sagt, ich soll Stress vermeiden.",The doctor says I should avoid stress.,,,,,,,,,,,,
vermieten,to rent out,"vermieten, vermietet, vermietete, hat vermietet",Bei uns im Haus ist ein Zimmer zu vermieten.,There is a room for rent in our house.,Die Wohnung ist schon vermietet.,The apartment is already rented out.,,,,,,,,,,
vermissen,to miss (a person etc.),"vermissen, vermisst, vermisste, hat vermisst",Ich vermisse meine Familie.,I miss my family.,,,,,,,,,,,,
vermuten,"to assume, suspect","vermuten, vermutet, vermutete, hat vermutet","Ich vermute, sie wird heute nicht kommen.",I suspect she won't come today.,,,,,,,,,,,,
verpacken,to pack,"verpacken, verpackt, verpackte, hat verpackt",Hast Du die Pakete gut verpackt?,Did you pack the parcels well?,,,,,,,,,,,,
verpassen,to miss (a scheduled thing),"verpassen, verpasst, verpasste, hat verpasst",Ich habe den Zug verpasst.,I missed the train.,Ich habe die 12-Uhr-Nachrichten verpasst.,I missed the 12 o'clock news.,,,,,,,,,,
verpflegen,to cater,"verpflegen, verpflegt, verpflegte, hat verpflegt",Wir werden hier sehr gut mit Essen verpflegt.,We are very well catered for here.,,,,,,,,,,,,
verraten,"to betray, reveal","verraten, verrät, verriet, hat verraten",Wer hat dir das Geheimnis verraten?,Who told you the secret?,"Sein Blick verriet mir, dass er verletzt ist.",His look told me that he was hurt.,,,,,,,,,,
verreisen,to travel,"verreisen, verreist, verreiste, ist verreist",Frau Dr. Müller ist zurzeit verreist.,Dr. Müller is currently out of town.,,,,,,,,,,,,
versäumen,to miss,"versäumen, versäumt, versäumte, hat versäumt","Tut mir leid, ich habe die Anmeldefrist versäumt.","Sorry, I missed the registration deadline.",,,,,,,,,,,,
verschieben,"to postpone, shift","verschieben, verschiebt, verschob, hat verschoben",Leider muss ich den Termin verschieben.,Unfortunately I have to postpone the date.,,,,,,,,,,,,
verschreiben,to prescribe,"verschreiben, verschreibt, verschrieb, hat verschrieben",Die Ärztin hat mir Tabletten verschrieben.,The doctor prescribed me tablets.,,,,,,,,,,,,
verschwinden,to disappear,"verschwinden, verschwindet, verschwand, ist verschwunden",Mein Ausweis ist verschwunden. Hast du ihn vielleicht gesehen?,My ID card has disappeared. Have you seen it?,,,,,,,,,,,,
versichern,to insure,"versichern, versichert, versicherte, hat versichert",Wollen Sie Ihr Gepäck versichern?,Do you want to insure your luggage?,Wie sind Sie versichert?,How are you insured?,,,,,,,,,,
versprechen,to promise,"versprechen, verspricht, versprach, hat versprochen","Meine Mutter hat mir versprochen, mich abzuholen.",My mother promised to pick me up.,,,,,,,,,,,,
(sich) verstecken,to hide,"(sich) verstecken, versteckt, versteckte, hat versteckt",Ich habe das Geld hinter dem Regal versteckt.,I hid the money behind the shelf.,Die Kinder verstecken sich im Wald.,The children hide in the forest.,,,,,,,,,,
(sich) verstehen,"to understand, get along","(sich) verstehen, versteht, verstand, hat verstanden",Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter.,I can hardly hear you. Please speak up.,Den Satz verstehe ich nicht.,I don't understand that sentence.,Ich verstehe nichts von Computern.,I know nothing about computers.,Unsere beiden Kinder verstehen sich sehr gut.,Our two children get on very well.,,,,,,
versuchen,to try,"versuchen, versucht, versuchte, hat versucht",Haben Sie es schon mal mit diesem Mittel versucht?,Have you ever tried this remedy?,"Ich habe immer wieder versucht, Sie zu erreichen.",I have tried to reach you again and again.,Versuchen Sie doch mal meinen Apfelkuchen.,Why don't you try my apple pie?,,,,,,,,
verteilen,to distribute,"verteilen, verteilt, verteilte, hat verteilt",Kannst du bitte schon mal die Gläser verteilen?,Can you please distribute the glasses?,,,,,,,,,,,,
vertrauen,to trust,"vertrauen, vertraut, vertraute, hat vertraut",Ich kenne dich gut. Ich vertraue dir.,I know you well. I trust you.,,,,,,,,,,,,
vertreten,to represent,"vertreten, vertritt, vertrat, hat vertreten","Wer vertritt Sie, wenn Sie Urlaub machen?",Who represents you when you are on vacation?,,,,,,,,,,,,
verurteilen,"to sentence, condemn","verurteilen, verurteilt, verurteilte, hat verurteilt",Das Gericht hat den Täter zu einer Geldstrafe verurteilt.,The court sentenced the perpetrator to a fine.,,,,,,,,,,,,
verwechseln,"to mix up, confuse with","verwechseln, verwechselt, verwechselte, hat verwechselt","Entschuldigen Sie, ich habe Sie mit jemandem verwechselt.","Excuse me, I mistook you for someone else.",,,,,,,,,,,,
verwenden,to use,"verwenden, verwendet, verwendete, hat verwendet",Dieses Wort wird oft verwendet.,This word is often used.,,,,,,,,,,,,
verzeihen,to forgive,"verzeihen, verzeiht, verzieh, hat verziehen",Das werde ich ihm nie verzeihen können.,I will never be able to forgive him for that.,,,,,,,,,,,,
verzichten,"to do without, renounce","verzichten, verzichtet, verzichtete, hat verzichtet",Ich verzichte heute auf den Kaffee.,I'm giving up coffee today.,,,,,,,,,,,,
(sich) vorbereiten,to prepare,"(sich) vorbereiten, bereitet vor, bereitete vor, hat vorbereitet",Am Sonntag machen wir ein kleines Fest. Ich muss noch viel dafür vorbereiten.,We're having a little party on Sunday. I still have a lot to prepare for it.,Ich muss mich auf meine Prüfung vorbereiten.,I have to prepare for my exam.,,,,,,,,,,
vorhaben,"to intend, plan","vorhaben, hat vor, hatte vor, hat vorgehabt",Haben Sie morgen Abend schon etwas vor?,Do you already have plans for tomorrow evening?,,,,,,,,,,,,
vorkommen,to occur,"vorkommen, kommt vor, kam vor, ist vorgekommen",Kein Problem. Das kann vorkommen.,No problem. That can happen.,,,,,,,,,,,,
vorlesen,to read out loud,"vorlesen, liest vor, las vor, hat vorgelesen",Ich lese meinen Kindern oft etwas vor.,I often read to my children.,,,,,,,,,,,,
vorschlagen,to suggest,"vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen","Ich schlage vor, dass wir eine Pause machen.",I suggest we take a break.,,,,,,,,,,,,
(sich) vorstellen,"to introduce, imagine","(sich) vorstellen, stellt vor, stellte vor, hat vorgestellt",So schwierig habe ich mir die Arbeit nicht vorgestellt.,I didn't imagine the work would be this difficult.,Darf ich dir meine Frau vorstellen?,May I introduce you to my wife?,Ich möchte mich vorstellen: Mein Name ist Schuster.,I would like to introduce myself: My name is Schuster.,,,,,,,,
wachsen,to grow,"wachsen, wächst, wuchs, ist gewachsen",Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich.,My son has grown a lot. He is now taller than me.,Ich will mir die Haare wachsen lassen.,I want to let my hair grow.,In meinem Garten wachsen Tomaten und Kartoffeln.,I grow tomatoes and potatoes in my garden.,,,,,,,,
wählen,to choose,"wählen, wählt, wählte, hat gewählt",Sie können wählen: Als Vorspeise gibt es Suppe oder Salat.,You can choose: Soup or salad as a starter.,Sie müssen erst eine Null wählen.,You must first select a zero.,Ich habe diese Partei nicht gewählt.,I did not vote for this party.,,,,,,,,
wandern,to hike,"wandern, wandert, wanderte, ist gewandert",Wir gehen oft wandern.,We often go hiking.,,,,,,,,,,,,
warnen,to warn,"warnen, warnt, warnte, hat gewarnt",Ich warne Sie. Der Hund ist gefährlich.,I'm warning you. The dog is dangerous.,,,,,,,,,,,,
warten,to wait,"warten, wartet, wartete, hat gewartet auf",Können Sie ein paar Minuten warten?,Can you wait a few minutes?,Ich warte seit einer Stunde auf den Bus.,I've been waiting for the bus for an hour.,,,,,,,,,,
(sich) waschen,to wash,"(sich) waschen, wäscht, wusch, hat gewaschen",Ich habe die Bluse gerade frisch gewaschen.,I have just washed the blouse.,Wo kann ich mir die Hände waschen?,Where can I wash my hands?,,,,,,,,,,
wechseln,to change,"wechseln, wechselt, wechselte, hat gewechselt",Können Sie 50 Euro in Kleingeld/in Dollar wechseln?,Can you change 50 euros into change/dollars?,Kannst du Reifen wechseln?,Can you change tires?,Ich werde den Arzt wechseln. Dieser hier ist zu teuer.,I'm going to change doctors. This one is too expensive.,,,,,,,,
wecken,to awaken,"wecken, weckt, weckte, hat geweckt",Können Sie mich morgen früh um sechs wecken?,Can you wake me up at six tomorrow morning?,,,,,,,,,,,,
wehtun,to hurt,"wehtun, tut weh, tat weh, hat wehgetan",Wo tut es weh?,Where does it hurt?,Mir tut der Rücken weh.,My back hurts.,Hast du dir wehgetan?,Did you hurt yourself?,,,,,,,,
sich weigern,to refuse,"sich weigern, weigert sich, weigerte sich, hat sich geweigert",Ich weigere mich diese Arbeit zu tun.,I refuse to do this work.,,,,,,,,,,,,
weinen,to cry,"weinen, weint, weinte, hat geweint",Bitte nicht weinen. Du bekommst eine neue Puppe.,Please don't cry. You'll get a new doll.,,,,,,,,,,,,
wenden,to turn,"wenden, wendet, wendete, hat gewendet","Sie müssen zurückfahren, aber hier dürfen Sie nicht wenden.","You have to drive back, but you are not allowed to turn around here.",,,,,,,,,,,,
werden,to become,"werden, wird, wurde, ist geworden",Es wird kalt.,It's getting cold.,Ich habe morgen Geburtstag. ? Wie alt wirst du denn?,It's my birthday tomorrow. - How old are you going to be?,Warum fährst du so schnell? Bist du verrückt geworden?!,Why are you driving so fast? Have you gone crazy?!,Mein Sohn möchte Polizist werden.,My son wants to be a policeman.,"Wohin fahren Sie in Urlaub? – Ich glaube, wir werden dieses Jahr zu Hause bleiben.",Where are you going on vacation? - I think we'll stay at home this year.,,,,
werfen,to throw,"werfen, wirft, warf, hat geworfen",Die Kinder haben Steine ins Wasser geworfen.,The children threw stones into the water.,,,,,,,,,,,,
wetten,to bet,"wetten, wettet, wettete, hat gewettet","Wir haben gewettet, dass sie wieder zu spät kommt.",We bet that she would be late again.,"Wetten, dass es bald regnet?",Want to bet that it will rain soon?,,,,,,,,,,
widersprechen,to contradict,"widersprechen, widerspricht, widersprach, hat widersprochen",Da muss ich Ihnen widersprechen.,I have to disagree with you.,Das widerspricht sich aber.,But that contradicts itself.,,,,,,,,,,
wiederholen,to repeat,"wiederholen, wiederholt, wiederholte, hat wiederholt",Ich wiederhole: Die Nummer ist 3487.,I repeat: the number is 3487.,,,,,,,,,,,,
wiegen,to weigh,"wiegen, wiegt, wog, hat gewogen",Wie viel wiegst du?,How much do you weigh?,Der Brief wiegt mehr als 20 Gramm.,The letter weighs more than 20 grams.,,,,,,,,,,
winken,to wave,"winken, winkt, winkte, hat gewinkt",Alle standen auf dem Bahnsteig und winkten zum Abschied.,Everyone stood on the platform and waved goodbye.,,,,,,,,,,,,
wirken,to work,"wirken, wirkt, wirkte, hat gewirkt",Die Tabletten haben nicht gewirkt.,The tablets did not work.,,,,,,,,,,,,
wissen,to know,"wissen, weiß, wusste, hat gewusst","Weißt du, wie der Hausmeister heißt?",Do you know the janitor's name?,"Ich habe nicht gewusst, dass Pascal verheiratet ist.",I didn't know that Pascal was married.,Woher wissen Sie das?,How do you know that?,,,,,,,,
wohnen,to live,"wohnen, wohnt, wohnte, hat gewohnt",Wir wohnen in einem alten Haus.,We live in an old house.,Ich wohne in München.,I live in Munich.,Wohnst du noch bei deinen Eltern?,Are you still living with your parents?,,,,,,,,
wollen,to want,"wollen, will, wollte, hat gewollt (hat wollen als Modalverb)",Peter will Arzt werden.,Peter wants to become a doctor.,Wollen Sie einen Kaffee?,Would you like a coffee?,Meine Eltern wollten nicht mitfahren.,My parents didn't want to go.,Was hast du als Kind werden wollen?,What did you want to be when you were a child?,Tut mir leid. Ich wollte das nicht.,I'm sorry. I didn't mean to do that.,,,,
sich wundern,"to wonder, be surprised","sich wundern, wundert sich, wunderte sich, hat sich gewundert","Es hat mich gewundert, dass das Essen hier so günstig ist.",I was surprised that the food here is so cheap.,"Ich wundere mich, dass du schon so früh aus der Schule kommst. Was ist los?",I'm surprised you're out of school so early. What's going on?,,,,,,,,,,
(sich) wünschen,to wish,"(sich) wünschen, wünscht, wünschte, hat gewünscht",Ich wünsche Ihnen alles Gute.,I wish you all the best.,Was wünschst du dir zum Geburtstag?,What do you want for your birthday?,Wünsch mir Glück!,Wish me luck!,,,,,,,,
zahlen,to pay,"zahlen, zahlt, zahlte, hat gezahlt","Herr Ober, zahlen bitte!","Waiter, please pay!",Ich hatte keinen Fahrschein und musste 60 Euro Strafe zahlen.,I didn't have a ticket and had to pay a fine of 60 euros.,Wir müssen im nächsten Jahr mehr Steuern zahlen.,We will have to pay more taxes next year.,,,,,,,,
zählen,to count,"zählen, zählt, zählte, hat gezählt",Bitte zählen Sie das Wechselgeld sofort nach.,Please count the change immediately.,Mein Sohn kann schon bis 100 zählen.,My son can already count to 100.,Ich zähle auf dich!,I'm counting on you!,,,,,,,,
zeichnen,to draw,"zeichnen, zeichnet, zeichnete, hat gezeichnet",Meine Tochter kann sehr gut zeichnen.,My daughter is very good at drawing.,,,,,,,,,,,,
zeigen,to show,"zeigen, zeigt, zeigte, hat gezeigt",Zeig mir bitte deine Hausaufgaben.,Please show me your homework.,Der Bahnhof ist nicht weit entfernt. Ich zeige Ihnen den Weg.,The station is not far away. I'll show you the way.,Komm her! Ich zeige dir etwas.,Come here! I'll show you something.,,,,,,,,
